Day,Lähto,Rata_Numero,arvo1,arvo2,arvo3,Voitto
1/2/2020,1,1,"0,46","0,50","0,75",1
1/2/2020,1,2,"0,00","0,00","0,00",0
1/2/2020,1,3,"0,09","0,24","0,21",0
1/2/2020,1,4,"0,20","0,09","0,35",0
1/2/2020,1,5,"0,04","0,11","0,20",0
1/2/2020,1,6,"0,00","0,00","0,00",0
1/2/2020,1,7,"0,16","0,12","0,29",0
1/2/2020,1,8,"0,10","0,17","0,21",0
1/2/2020,1,9,"0,11","0,14","0,23",0
1/2/2020,1,10,"0,20","0,14","0,37",0
1/2/2020,1,11,"0,20","0,11","0,30",0
1/2/2020,1,12,"0,00","0,00","0,00",0
1/2/2020,1,13,"0,00","0,00","0,00",0
1/2/2020,1,14,"0,00","0,00","0,00",0
1/2/2020,1,15,"0,00","0,00","0,00",0
1/2/2020,1,16,"0,00","0,00","0,00",0
1/2/2020,2,1,"0,15","0,13","0,26",0
1/2/2020,2,2,"0,03","0,21","0,14",0
1/2/2020,2,3,"0,03","0,17","0,14",0
1/2/2020,2,4,"0,53","0,47","0,69",0
1/2/2020,2,5,"0,03","0,14","0,13",0
1/2/2020,2,6,"0,20","0,19","0,39",0
1/2/2020,2,7,"0,17","0,14","0,29",1
1/2/2020,2,8,"0,00","0,00","0,00",0
1/2/2020,2,9,"0,16","0,05","0,22",0
1/2/2020,2,10,"0,10","0,09","0,18",0
1/2/2020,2,11,"0,11","0,15","0,17",0
1/2/2020,2,12,"0,08","0,03","0,17",0
1/2/2020,2,13,"0,46","0,39","0,53",0
1/2/2020,2,14,"0,06","0,01","0,07",0
1/2/2020,2,15,"0,00","0,00","0,00",0
1/2/2020,2,16,"0,00","0,00","0,00",0
1/2/2020,3,1,"0,04","0,13","0,15",0
1/2/2020,3,2,"0,04","0,22","0,15",0
1/2/2020,3,3,"0,44","0,60","0,69",0
1/2/2020,3,4,"0,18","0,09","0,30",0
1/2/2020,3,5,"0,06","0,11","0,17",1
1/2/2020,3,6,"0,11","0,09","0,28",0
1/2/2020,3,7,"0,17","0,12","0,31",0
1/2/2020,3,8,"0,00","0,00","0,00",0
1/2/2020,3,9,"0,00","0,00","0,00",0
1/2/2020,3,10,"0,00","0,00","0,00",0
1/2/2020,3,11,"0,09","0,08","0,15",0
1/2/2020,3,12,"0,00","0,00","0,00",0
1/2/2020,3,13,"0,00","0,00","0,00",0
1/2/2020,3,14,"0,00","0,00","0,00",0
1/2/2020,3,15,"0,00","0,00","0,00",0
1/2/2020,3,16,"0,00","0,00","0,00",0
1/2/2020,4,1,"0,07","0,23","0,27",1
1/2/2020,4,2,"0,04","0,22","0,15",0
1/2/2020,4,3,"0,00","0,00","0,00",0
1/2/2020,4,4,"0,14","0,09","0,26",0
1/2/2020,4,5,"0,46","0,62","0,63",0
1/2/2020,4,6,"0,22","0,14","0,44",0
1/2/2020,4,7,"0,00","0,00","0,00",0
1/2/2020,4,8,"0,12","0,12","0,18",0
1/2/2020,4,9,"0,00","0,00","0,00",0
1/2/2020,4,10,"0,13","0,11","0,31",0
1/2/2020,4,11,"0,12","0,08","0,24",0
1/2/2020,4,12,"0,09","0,13","0,14",0
1/2/2020,4,13,"0,00","0,00","0,00",0
1/2/2020,4,14,"0,00","0,00","0,00",0
1/2/2020,4,15,"0,00","0,00","0,00",0
1/2/2020,4,16,"0,00","0,00","0,00",0
1/4/2020,1,1,"0,46","0,51","0,62",1
1/4/2020,1,2,"0,13","0,22","0,31",0
1/4/2020,1,3,"0,11","0,22","0,27",0
1/4/2020,1,4,"0,12","0,07","0,21",0
1/4/2020,1,5,"0,04","0,11","0,14",0
1/4/2020,1,6,"0,13","0,14","0,27",0
1/4/2020,1,7,"0,19","0,16","0,36",0
1/4/2020,1,8,"0,13","0,12","0,24",0
1/4/2020,1,9,"0,11","0,11","0,23",0
1/4/2020,1,10,"0,17","0,14","0,35",0
1/4/2020,1,11,"0,00","0,00","0,00",0
1/4/2020,1,12,"0,10","0,13","0,14",0
1/4/2020,1,13,"0,08","0,14","0,21",0
1/4/2020,1,14,"0,00","0,00","0,00",0
1/4/2020,1,15,"0,00","0,00","0,00",0
1/4/2020,1,16,"0,00","0,00","0,00",0
1/4/2020,2,1,"0,00","0,00","0,00",0
1/4/2020,2,2,"0,04","0,22","0,19",0
1/4/2020,2,3,"0,08","0,22","0,20",0
1/4/2020,2,4,"0,53","0,47","0,66",0
1/4/2020,2,5,"0,12","0,13","0,31",0
1/4/2020,2,6,"0,10","0,09","0,18",0
1/4/2020,2,7,"0,00","0,00","0,00",0
1/4/2020,2,8,"0,13","0,17","0,19",0
1/4/2020,2,9,"0,23","0,11","0,35",1
1/4/2020,2,10,"0,00","0,00","0,00",0
1/4/2020,2,11,"0,00","0,00","0,00",0
1/4/2020,2,12,"0,10","0,13","0,14",0
1/4/2020,2,13,"0,00","0,00","0,00",0
1/4/2020,2,14,"0,00","0,00","0,00",0
1/4/2020,2,15,"0,00","0,00","0,00",0
1/4/2020,2,16,"0,00","0,00","0,00",0
1/4/2020,3,1,"0,10","0,51","0,62",0
1/4/2020,3,2,"0,05","0,22","0,31",0
1/4/2020,3,3,"0,09","0,22","0,27",0
1/4/2020,3,4,"0,20","0,07","0,21",1
1/4/2020,3,5,"0,00","0,11","0,14",0
1/4/2020,3,6,"0,20","0,14","0,27",0
1/4/2020,3,7,"0,00","0,16","0,36",0
1/4/2020,3,8,"0,14","0,12","0,24",0
1/4/2020,3,9,"0,09","0,11","0,23",0
1/4/2020,3,10,"0,00","0,14","0,35",0
1/4/2020,3,11,"0,00","0,00","0,00",0
1/4/2020,3,12,"0,00","0,13","0,14",0
1/4/2020,3,13,"0,00","0,14","0,21",0
1/4/2020,3,14,"0,00","0,00","0,00",0
1/4/2020,3,15,"0,00","0,00","0,00",0
1/4/2020,3,16,"0,00","0,00","0,00",0
1/4/2020,4,1,"0,04","0,13","0,19",0
1/4/2020,4,2,"0,10","0,22","0,38",0
1/4/2020,4,3,"0,47","0,60","0,65",0
1/4/2020,4,4,"0,00","0,00","0,00",0
1/4/2020,4,5,"0,47","0,61","0,69",0
1/4/2020,4,6,"0,21","0,14","0,39",0
1/4/2020,4,7,"0,00","0,00","0,00",0
1/4/2020,4,8,"0,52","0,34","0,64",1
1/4/2020,4,9,"0,00","0,00","0,00",0
1/4/2020,4,10,"0,14","0,09","0,35",0
1/4/2020,4,11,"0,08","0,08","0,14",0
1/4/2020,4,12,"0,00","0,00","0,00",0
1/4/2020,4,13,"0,00","0,00","0,00",0
1/4/2020,4,14,"0,00","0,00","0,00",0
1/4/2020,4,15,"0,00","0,00","0,00",0
1/4/2020,4,16,"0,00","0,00","0,00",0
1/8/2020,1,1,"0,03","0,16","0,14",0
1/8/2020,1,2,"0,14","0,22","0,36",1
1/8/2020,1,3,"0,10","0,19","0,31",0
1/8/2020,1,4,"0,12","0,07","0,30",0
1/8/2020,1,5,"0,15","0,11","0,36",0
1/8/2020,1,6,"0,53","0,44","0,74",0
1/8/2020,1,7,"0,22","0,16","0,40",0
1/8/2020,1,8,"0,09","0,04","0,21",0
1/8/2020,1,9,"0,00","0,00","0,00",0
1/8/2020,1,10,"0,00","0,00","0,00",0
1/8/2020,1,11,"0,00","0,00","0,00",0
1/8/2020,1,12,"0,00","0,00","0,00",0
1/8/2020,1,13,"0,00","0,00","0,00",0
1/8/2020,1,14,"0,00","0,00","0,00",0
1/8/2020,1,15,"0,00","0,00","0,00",0
1/8/2020,1,16,"0,00","0,00","0,00",0
1/8/2020,2,1,"0,11","0,18","0,28",0
1/8/2020,2,2,"0,12","0,22","0,33",1
1/8/2020,2,3,"0,13","0,22","0,34",0
1/8/2020,2,4,"0,12","0,14","0,23",0
1/8/2020,2,5,"0,05","0,13","0,16",0
1/8/2020,2,6,"0,10","0,09","0,18",0
1/8/2020,2,7,"0,00","0,00","0,00",0
1/8/2020,2,8,"0,09","0,04","0,20",0
1/8/2020,2,9,"0,16","0,05","0,26",0
1/8/2020,2,10,"0,11","0,11","0,24",0
1/8/2020,2,11,"0,17","0,15","0,28",0
1/8/2020,2,12,"0,08","0,03","0,17",0
1/8/2020,2,13,"0,00","0,00","0,00",0
1/8/2020,2,14,"0,00","0,00","0,00",0
1/8/2020,2,15,"0,00","0,00","0,00",0
1/8/2020,2,16,"0,00","0,00","0,00",0
1/8/2020,3,1,"0,00","0,00","0,00",0
1/8/2020,3,2,"0,44","0,49","0,77",1
1/8/2020,3,3,"0,10","0,22","0,22",0
1/8/2020,3,4,"0,12","0,07","0,22",0
1/8/2020,3,5,"0,00","0,00","0,00",0
1/8/2020,3,6,"0,11","0,09","0,20",0
1/8/2020,3,7,"0,17","0,20","0,31",0
1/8/2020,3,8,"0,00","0,00","0,00",0
1/8/2020,3,9,"0,15","0,11","0,22",0
1/8/2020,3,10,"0,12","0,11","0,27",0
1/8/2020,3,11,"0,00","0,00","0,00",0
1/8/2020,3,12,"0,10","0,08","0,23",0
1/8/2020,3,13,"0,00","0,00","0,00",0
1/8/2020,3,14,"0,00","0,00","0,00",0
1/8/2020,3,15,"0,00","0,00","0,00",0
1/8/2020,3,16,"0,00","0,00","0,00",0
1/8/2020,4,1,"0,10","0,19","0,22",0
1/8/2020,4,2,"0,04","0,22","0,20",0
1/8/2020,4,3,"0,03","0,17","0,14",0
1/8/2020,4,4,"0,22","0,25","0,38",1
1/8/2020,4,5,"0,44","0,61","0,65",0
1/8/2020,4,6,"0,11","0,09","0,19",0
1/8/2020,4,7,"0,11","0,18","0,18",0
1/8/2020,4,8,"0,00","0,00","0,00",0
1/8/2020,4,9,"0,14","0,14","0,21",0
1/8/2020,4,10,"0,10","0,09","0,17",0
1/8/2020,4,11,"0,00","0,00","0,00",0
1/8/2020,4,12,"0,09","0,13","0,26",0
1/8/2020,4,13,"0,00","0,00","0,00",0
1/8/2020,4,14,"0,00","0,00","0,00",0
1/8/2020,4,15,"0,00","0,00","0,00",0
1/8/2020,4,16,"0,00","0,00","0,00",0
1/15/2020,1,1,"0,45","0,52","0,64",0
1/15/2020,1,2,"0,04","0,22","0,15",0
1/15/2020,1,3,"0,00","0,00","0,00",0
1/15/2020,1,4,"0,00","0,00","0,00",0
1/15/2020,1,5,"0,13","0,11","0,23",0
1/15/2020,1,6,"0,20","0,19","0,30",1
1/15/2020,1,7,"0,10","0,10","0,18",0
1/15/2020,1,8,"0,16","0,12","0,27",0
1/15/2020,1,9,"0,14","0,05","0,20",0
1/15/2020,1,10,"0,52","0,56","0,70",0
1/15/2020,1,11,"0,00","0,00","0,00",0
1/15/2020,1,12,"0,00","0,00","0,00",0
1/15/2020,1,13,"0,00","0,00","0,00",0
1/15/2020,1,14,"0,00","0,00","0,00",0
1/15/2020,1,15,"0,00","0,00","0,00",0
1/15/2020,1,16,"0,00","0,00","0,00",0
1/15/2020,2,1,"0,00","0,00","0,00",0
1/15/2020,2,2,"0,03","0,21","0,18",0
1/15/2020,2,3,"0,12","0,22","0,29",0
1/15/2020,2,4,"0,17","0,09","0,32",0
1/15/2020,2,5,"0,00","0,00","0,00",0
1/15/2020,2,6,"0,15","0,14","0,30",0
1/15/2020,2,7,"0,00","0,00","0,00",0
1/15/2020,2,8,"0,50","0,37","0,66",1
1/15/2020,2,9,"0,23","0,11","0,29",0
1/15/2020,2,10,"0,12","0,11","0,26",0
1/15/2020,2,11,"0,08","0,08","0,14",0
1/15/2020,2,12,"0,00","0,00","0,00",0
1/15/2020,2,13,"0,00","0,00","0,00",0
1/15/2020,2,14,"0,00","0,00","0,00",0
1/15/2020,2,15,"0,00","0,00","0,00",0
1/15/2020,2,16,"0,00","0,00","0,00",0
1/15/2020,3,1,"0,15","0,24","0,32",1
1/15/2020,3,2,"0,11","0,23","0,32",0
1/15/2020,3,3,"0,07","0,22","0,22",0
1/15/2020,3,4,"0,22","0,16","0,38",0
1/15/2020,3,5,"0,55","0,61","0,77",0
1/15/2020,3,6,"0,00","0,00","0,00",0
1/15/2020,3,7,"0,17","0,20","0,30",0
1/15/2020,3,8,"0,11","0,08","0,21",0
1/15/2020,3,9,"0,09","0,11","0,16",0
1/15/2020,3,10,"0,13","0,11","0,35",0
1/15/2020,3,11,"0,00","0,00","0,00",0
1/15/2020,3,12,"0,09","0,13","0,14",0
1/15/2020,3,13,"0,00","0,00","0,00",0
1/15/2020,3,14,"0,00","0,00","0,00",0
1/15/2020,3,15,"0,00","0,00","0,00",0
1/15/2020,3,16,"0,00","0,00","0,00",0
1/15/2020,4,1,"0,03","0,16","0,19",0
1/15/2020,4,2,"0,03","0,21","0,14",0
1/15/2020,4,3,"0,00","0,00","0,00",0
1/15/2020,4,4,"0,13","0,14","0,23",0
1/15/2020,4,5,"0,00","0,00","0,00",0
1/15/2020,4,6,"0,19","0,19","0,33",0
1/15/2020,4,7,"0,00","0,00","0,00",0
1/15/2020,4,8,"0,00","0,00","0,00",0
1/15/2020,4,9,"0,11","0,14","0,22",0
1/15/2020,4,10,"0,10","0,09","0,21",0
1/15/2020,4,11,"0,00","0,00","0,00",0
1/15/2020,4,12,"0,11","0,13","0,29",0
1/15/2020,4,13,"0,06","0,01","0,08",0
1/15/2020,4,14,"0,41","0,18","0,53",0
1/15/2020,4,15,"0,40","0,67","0,56",1
1/15/2020,4,16,"0,00","0,00","0,00",0
1/22/2020,1,1,"0,46","0,52","0,82",0
1/22/2020,1,2,"0,00","0,00","0,00",0
1/22/2020,1,3,"0,05","0,22","0,24",0
1/22/2020,1,4,"0,12","0,14","0,27",0
1/22/2020,1,5,"0,14","0,12","0,28",0
1/22/2020,1,6,"0,53","0,44","0,98",1
1/22/2020,1,7,"0,53","0,39","0,78",0
1/22/2020,1,8,"0,10","0,16","0,19",0
1/22/2020,1,9,"0,09","0,11","0,15",0
1/22/2020,1,10,"0,00","0,00","0,00",0
1/22/2020,1,11,"0,15","0,11","0,24",0
1/22/2020,1,12,"0,00","0,00","0,00",0
1/22/2020,1,13,"0,00","0,00","0,00",0
1/22/2020,1,14,"0,00","0,00","0,00",0
1/22/2020,1,15,"0,00","0,00","0,00",0
1/22/2020,1,16,"0,00","0,00","0,00",0
1/22/2020,2,1,"0,05","0,14","0,25",0
1/22/2020,2,2,"0,07","0,21","0,39",0
1/22/2020,2,3,"0,07","0,22","0,31",1
1/22/2020,2,4,"0,12","0,07","0,26",0
1/22/2020,2,5,"0,14","0,12","0,28",0
1/22/2020,2,6,"0,00","0,00","0,00",0
1/22/2020,2,7,"0,00","0,00","0,00",0
1/22/2020,2,8,"0,10","0,16","0,33",0
1/22/2020,2,9,"0,14","0,05","0,20",0
1/22/2020,2,10,"0,00","0,00","0,00",0
1/22/2020,2,11,"0,10","0,11","0,24",0
1/22/2020,2,12,"0,00","0,00","0,00",0
1/22/2020,2,13,"0,07","0,01","0,16",0
1/22/2020,2,14,"0,00","0,00","0,00",0
1/22/2020,2,15,"0,14","0,01","0,31",0
1/22/2020,2,16,"0,46","0,50","0,90",0
1/22/2020,3,1,"0,00","0,00","0,00",0
1/22/2020,3,2,"0,14","0,23","0,34",0
1/22/2020,3,3,"0,05","0,14","0,30",0
1/22/2020,3,4,"0,22","0,16","0,45",0
1/22/2020,3,5,"0,00","0,00","0,00",0
1/22/2020,3,6,"0,11","0,09","0,31",0
1/22/2020,3,7,"0,00","0,00","0,00",0
1/22/2020,3,8,"0,19","0,12","0,63",0
1/22/2020,3,9,"0,00","0,00","0,00",0
1/22/2020,3,10,"0,15","0,14","0,36",1
1/22/2020,3,11,"0,09","0,08","0,23",0
1/22/2020,3,12,"0,00","0,00","0,00",0
1/22/2020,3,13,"0,00","0,00","0,00",0
1/22/2020,3,14,"0,00","0,00","0,00",0
1/22/2020,3,15,"0,00","0,00","0,00",0
1/22/2020,3,16,"0,00","0,00","0,00",0
1/22/2020,4,1,"0,12","0,25","0,51",1
1/22/2020,4,2,"0,06","0,21","0,30",0
1/22/2020,4,3,"0,44","0,60","0,85",0
1/22/2020,4,4,"0,12","0,07","0,31",0
1/22/2020,4,5,"0,00","0,00","0,00",0
1/22/2020,4,6,"0,15","0,14","0,32",0
1/22/2020,4,7,"0,00","0,00","0,00",0
1/22/2020,4,8,"0,00","0,00","0,00",0
1/22/2020,4,9,"0,09","0,05","0,18",0
1/22/2020,4,10,"0,10","0,09","0,24",0
1/22/2020,4,11,"0,08","0,08","0,22",0
1/22/2020,4,12,"0,07","0,03","0,16",0
1/22/2020,4,13,"0,00","0,00","0,00",0
1/22/2020,4,14,"0,00","0,00","0,00",0
1/22/2020,4,15,"0,00","0,00","0,00",0
1/22/2020,4,16,"0,00","0,00","0,00",0
2/5/2020,1,1,"0,05","0,18","0,25",0
2/5/2020,1,2,"0,00","0,20","0,33",0
2/5/2020,1,3,"0,08","0,22","0,44",0
2/5/2020,1,4,"0,12","0,27","0,73",1
