Day,Paikka,Rata_nro,arvo1,arvo2,arvo3,Voitto,Luku,V_summa 
1/1/2020,1,1,"0,46","0,50","0,75",1,11,
1/1/2020,1,2,"0,00","0,00","0,00", ,0,
1/1/2020,1,3,"0,09","0,24","0,21", ,4,
1/1/2020,1,4,"0,20","0,09","0,35", ,5,
1/1/2020,1,5,"0,04","0,11","0,20", ,2,
1/1/2020,1,6,"0,00","0,00","0,00", ,0,
1/1/2020,1,7,"0,16","0,12","0,29", ,4,
1/1/2020,1,8,"0,10","0,17","0,21", ,3,
1/1/2020,1,9,"0,11","0,14","0,23", ,5,
1/1/2020,1,10,"0,20","0,14","0,37", ,7,
1/1/2020,1,11,"0,20","0,11","0,30", ,10,
1/1/2020,1,12,"0,00","0,00","0,00", ,0,
1/1/2020,1,13,"0,00","0,00","0,00", ,0,
1/1/2020,1,14,"0,00","0,00","0,00", ,0,
1/1/2020,1,15,"0,00","0,00","0,00", ,0,
1/1/2020,1,16,"0,00","0,00","0,00", ,0,
1/1/2020,1,1,"0,15","0,13","0,26", ,2,
1/1/2020,1,2,"0,03","0,21","0,14", ,1,
1/1/2020,1,3,"0,03","0,17","0,14", ,1,
1/1/2020,1,4,"0,53","0,47","0,69", ,11,
1/1/2020,1,5,"0,03","0,14","0,13", ,1,
1/1/2020,1,6,"0,20","0,19","0,39", ,10,
1/1/2020,1,7,"0,17","0,14","0,29",1,6,
1/1/2020,1,8,"0,00","0,00","0,00", ,0,
1/1/2020,1,9,"0,16","0,05","0,22", ,3,
1/1/2020,1,10,"0,10","0,09","0,18", ,2,
1/1/2020,1,11,"0,11","0,15","0,17", ,5,
1/1/2020,1,12,"0,08","0,03","0,17", ,1,
1/1/2020,1,13,"0,46","0,39","0,53", ,11,
1/1/2020,1,14,"0,06","0,01","0,07", ,2,
1/1/2020,1,15,"0,00","0,00","0,00", ,0,
1/1/2020,1,16,"0,00","0,00","0,00", ,0,
1/1/2020,1,1,"0,04","0,13","0,15", ,2,
1/1/2020,1,2,"0,04","0,22","0,15", ,2,
1/1/2020,1,3,"0,44","0,60","0,69", ,11,
1/1/2020,1,4,"0,18","0,09","0,30", ,5,
1/1/2020,1,5,"0,06","0,11","0,17",1,4,
1/1/2020,1,6,"0,11","0,09","0,28", ,2,
1/1/2020,1,7,"0,17","0,12","0,31", ,4,
1/1/2020,1,8,"0,00","0,00","0,00", ,0,
1/1/2020,1,9,"0,00","0,00","0,00", ,0,
1/1/2020,1,10,"0,00","0,00","0,00", ,0,
1/1/2020,1,11,"0,09","0,08","0,15", ,2,
1/1/2020,1,12,"0,00","0,00","0,00", ,0,
1/1/2020,1,13,"0,00","0,00","0,00", ,0,
1/1/2020,1,14,"0,00","0,00","0,00", ,0,
1/1/2020,1,15,"0,00","0,00","0,00", ,0,
1/1/2020,1,16,"0,00","0,00","0,00", ,0,
1/1/2020,1,1,"0,07","0,23","0,27",1,6,
1/1/2020,1,2,"0,04","0,22","0,15", ,2,
1/1/2020,1,3,"0,00","0,00","0,00", ,0,
1/1/2020,1,4,"0,14","0,09","0,26", ,5,
1/1/2020,1,5,"0,46","0,62","0,63", ,11,
1/1/2020,1,6,"0,22","0,14","0,44", ,9,
1/1/2020,1,7,"0,00","0,00","0,00", ,0,
1/1/2020,1,8,"0,12","0,12","0,18", ,6,
1/1/2020,1,9,"0,00","0,00","0,00", ,0,
1/1/2020,1,10,"0,13","0,11","0,31", ,4,
1/1/2020,1,11,"0,12","0,08","0,24", ,8,
1/1/2020,1,12,"0,09","0,13","0,14", ,3,
1/1/2020,1,13,"0,00","0,00","0,00", ,0,
1/1/2020,1,14,"0,00","0,00","0,00", ,0,
1/1/2020,1,15,"0,00","0,00","0,00", ,0,
1/1/2020,1,16,"0,00","0,00","0,00", ,0,
1/1/2020,1,1,"0,00","0,00","0,00", ,0,
1/1/2020,1,2,"0,00","0,00","0,00", ,0,
1/1/2020,1,3,"0,00","0,00","0,00", ,0,
1/1/2020,1,4,"0,00","0,00","0,00", ,0,
1/1/2020,1,5,"0,00","0,00","0,00", ,0,
1/1/2020,1,6,"0,00","0,00","0,00", ,0,
1/1/2020,1,7,"0,00","0,00","0,00", ,0,
1/1/2020,1,8,"0,00","0,00","0,00", ,0,
1/1/2020,1,9,"0,00","0,00","0,00", ,0,
1/1/2020,1,10,"0,00","0,00","0,00", ,0,
1/1/2020,1,11,"0,00","0,00","0,00", ,0,
1/1/2020,1,12,"0,00","0,00","0,00", ,0,
1/1/2020,1,13,"0,00","0,00","0,00", ,0,
1/1/2020,1,14,"0,00","0,00","0,00", ,0,
1/1/2020,1,15,"0,00","0,00","0,00", ,0,
1/1/2020,1,16,"0,00","0,00","0,00", ,0,"689,80"
1/4/2020,1,1,"0,46","0,51","0,62",1,11,
1/4/2020,1,2,"0,13","0,22","0,31", ,0,
1/4/2020,1,3,"0,11","0,22","0,27", ,4,
1/4/2020,1,4,"0,12","0,07","0,21", ,5,
1/4/2020,1,5,"0,04","0,11","0,14", ,2,
1/4/2020,1,6,"0,13","0,14","0,27", ,0,
1/4/2020,1,7,"0,19","0,16","0,36", ,4,
1/4/2020,1,8,"0,13","0,12","0,24", ,3,
1/4/2020,1,9,"0,11","0,11","0,23", ,5,
1/4/2020,1,10,"0,17","0,14","0,35", ,7,
1/4/2020,1,11,"0,00","0,00","0,00", ,10,
1/4/2020,1,12,"0,10","0,13","0,14", ,0,
1/4/2020,1,13,"0,08","0,14","0,21", ,0,
